Vollmond
Sonne (fotografiert mit dem Sonnenteleskop der Sternwarte Ursensollen - Lunt LS80THA)
Vollmond (Mosaik)
Zunehmender Mond (Mosaik)
Saturn
Abnehmender Mond
Zunehmender Mond
Jupiter mit Io und Schatten von Io
Mars
